epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.914,0.95468,1.71667,1.1483,0.71228,0.71805,0.76912,0.50811,1.12667,1.15173,1.24322,0.000415264,0.000415264,0.000415264
2,722.99,0.96543,1.05463,1.13378,0.83634,0.69908,0.79896,0.62308,0.96924,1.03876,1.08244,0.000815458,0.000815458,0.000815458
3,1050.48,0.94123,1.00318,1.11251,0.84457,0.76326,0.85494,0.62913,0.97272,0.96291,1.08487,0.00119915,0.00119915,0.00119915
4,1379.39,0.90655,0.93998,1.10518,0.77583,0.77531,0.82542,0.62447,0.93874,0.97663,1.11511,0.00117575,0.00117575,0.00117575
5,1702.12,0.8847,0.84426,1.0925,0.8202,0.83983,0.89491,0.71001,0.90859,0.78769,1.04366,0.001151,0.001151,0.001151
6,2032.89,0.85413,0.80301,1.08272,0.86571,0.84633,0.90147,0.71266,0.84844,0.73967,1.00376,0.00112625,0.00112625,0.00112625
7,2353.19,0.82114,0.75476,1.05912,0.84339,0.81259,0.87191,0.71671,0.79789,0.75722,0.97494,0.0011015,0.0011015,0.0011015
8,2671.83,0.8198,0.73829,1.05127,0.906,0.8617,0.9183,0.74902,0.80882,0.68173,0.99814,0.00107675,0.00107675,0.00107675
9,2994.02,0.8092,0.71195,1.05315,0.85511,0.87189,0.92765,0.75724,0.79372,0.63692,0.96507,0.001052,0.001052,0.001052
10,3320.42,0.78013,0.67396,1.03542,0.89085,0.8757,0.93002,0.77209,0.78332,0.58152,0.95173,0.00102725,0.00102725,0.00102725
11,3647.81,0.75869,0.64837,1.02569,0.785,0.85803,0.8986,0.69504,0.81318,0.73467,0.97638,0.0010025,0.0010025,0.0010025
12,3972.06,0.74695,0.64156,1.02296,0.89231,0.88838,0.93601,0.76099,0.79647,0.60316,0.95086,0.00097775,0.00097775,0.00097775
13,4299.57,0.73414,0.60777,1.01184,0.91634,0.87646,0.93272,0.77082,0.76869,0.58474,0.95611,0.000953,0.000953,0.000953
14,4625.88,0.72542,0.58493,1.01246,0.88605,0.84645,0.91233,0.75225,0.7492,0.63729,0.93562,0.00092825,0.00092825,0.00092825
15,4952.23,0.70838,0.57033,0.99853,0.90969,0.90863,0.94132,0.7878,0.72458,0.52824,0.91529,0.0009035,0.0009035,0.0009035
16,5280.57,0.71512,0.56717,0.99921,0.92672,0.89664,0.93045,0.78218,0.75629,0.55357,0.94274,0.00087875,0.00087875,0.00087875
17,5609.47,0.7095,0.58335,0.99683,0.90384,0.89946,0.94315,0.77892,0.72125,0.55134,0.92888,0.000854,0.000854,0.000854
18,5936.2,0.69965,0.56298,0.99509,0.92579,0.88635,0.94109,0.79488,0.71577,0.50603,0.9121,0.00082925,0.00082925,0.00082925
19,6262.06,0.69332,0.54364,0.9901,0.93651,0.90903,0.95785,0.80572,0.71101,0.48559,0.91092,0.0008045,0.0008045,0.0008045
